fid,P13_001,P13_002,P13_003,P13_004,P13_005,P13_006,P13_007,P13_008,P13_009,P13_010,radius,_LST_farme,_LST_far_1,_LST_nearm,_LST_nea_1,dif_LST,log10_area
1652,大阪府,堺市,堺市第５７－１５号公共緑地,1,大阪府,堺市,1984,72,2,,4.787,44.445217697223043,44.068431064328195,44.029322925273291,44.021606453907054,0.416,1.857
1103,大阪府,堺市,東浅香山町ひまわり公園,1,大阪府,堺市,1977,141,2,,6.699,44.355088789800917,44.171653320973235,44.241892263844797,44.222277442588535,0.113,2.149
979,大阪府,堺市,東浅香山公園,1,大阪府,堺市,1955,1168,1,,19.282,45.407362973096326,45.509470519110749,45.786723291914775,45.790590488480461,-0.379,3.067
980,大阪府,堺市,第２東浅香山公園,1,大阪府,堺市,1955,798,1,,15.938,44.251283894965269,44.132012973112239,44.528574899866015,44.423287720230917,-0.277,2.902
1813,大阪府,堺市,常磐町いわぎく公園,1,大阪府,堺市,1995,2183,2,,26.360,41.838605449005861,42.601222102740309,42.688093217052128,42.743635645103517,-0.849,3.339
1587,大阪府,堺市,常磐町ウォーターリリー公園,1,大阪府,堺市,2004,335,2,,10.326,41.252654081855944,42.309062145621567,41.900409978292181,42.123937715503381,-0.648,2.525
1550,大阪府,堺市,東浅香山町おかりば公園,2,大阪府,堺市,1998,9721,2,,55.626,41.920273634915297,42.399015081655250,42.598224575478667,42.532589927701082,-0.678,3.988
1856,大阪府,堺市,新堀町パンプキン公園,1,大阪府,堺市,1999,425,2,,11.631,43.287558451014917,43.206050469160800,42.829960412423198,42.886835908608248,0.458,2.628
1116,大阪府,堺市,南花田めぎ公園,1,大阪府,堺市,1978,161,2,,7.159,45.442159446953994,45.398943954200803,45.602802993811899,45.611604020747450,-0.161,2.207
1507,大阪府,堺市,中村町公園,1,大阪府,堺市,1992,999,2,,17.832,37.943949634219585,37.599111385888193,37.406788884373867,37.239509967303007,0.537,3.000
374,大阪府,大阪市,塚本,1,大阪府,大阪市,1942,3545,1,,33.592,43.377455095015826,43.378464309700973,43.308433343888069,43.324391261964848,0.069,3.550
376,大阪府,大阪市,新北野,1,大阪府,大阪市,1961,4889,2,,39.449,43.878314667955777,43.846008374400213,43.745770423067285,43.696003308798907,0.133,3.689
402,大阪府,大阪市,塚本南,1,大阪府,大阪市,1983,582,1,,13.611,44.356062680445802,44.427723939498605,45.009103052270014,44.929089347067077,-0.653,2.765
412,大阪府,大阪市,塚本駅前,1,大阪府,大阪市,1997,700,2,,14.927,43.332953686972054,43.380231816472815,43.148965444015232,43.152126056487873,0.184,2.845
378,大阪府,大阪市,加島小,1,大阪府,大阪市,1969,2978,2,,30.788,43.578532692306183,43.531775882898074,43.768142222136184,43.737835379561211,-0.190,3.474
379,大阪府,大阪市,三津屋,1,大阪府,大阪市,1970,5514,1,,41.895,44.146852704705296,44.154533306721504,43.549613219078616,43.561562844846407,0.597,3.741
381,大阪府,大阪市,田川西,1,大阪府,大阪市,1970,1208,1,,19.609,43.827123871580177,44.144639538030503,43.624785903126948,43.596753132434742,0.202,3.082
384,大阪府,大阪市,加島浜,1,大阪府,大阪市,1973,686,2,,14.777,41.187590369861766,42.849946146084619,42.400460875983043,42.649526068046931,-1.213,2.836
