date,observation_datetime_utc,scene_index,cloud_cover,scene_covers_roi,scene_coverage_ratio,export_requested,export_eligible,export_reason,exported,lst_drive_folder,indices_drive_folder,lst_export_description,indices_export_description,lst_total_pixels,lst_valid_pixels,lst_valid_pixel_ratio,lst_mean_temp_c,lst_min_temp_c,lst_max_temp_c,lst_std_temp_c,indices_valid_pixel_ratio,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndbi_mean,ndbi_min,ndbi_max,ndbi_std,ndwi_mean,ndwi_min,ndwi_max,ndwi_std
2023-05-20,2023-05-20T03:23:05,LC08_127046_20230520,11.45,False,0.5256366133617932,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1960378.0,733724.0,37.427679763800654,33.74353462643858,27.119106669968744,55.117120844034616,1.9898269928147256,31.28718032950788,0.5323756188357419,-0.0962026102526419,0.9995682732657539,0.1366605358351018,-0.20944409953903895,-0.7030897620112476,0.483364754378596,0.1307280163375567,-0.4620008364637814,-0.9965320158868547,0.34239628850407294,0.11913419464993881
2023-05-29,2023-05-29T03:16:32,LC08_126045_20230529,25.8,False,0.006181327531917826,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,23202.0,2705.0,11.658477717438153,32.66137671778646,26.212636504132433,38.30394720326365,1.7934939689597658,10.361175760710283,0.627613713408345,0.20718514454038758,0.8866250291548967,0.1252652305398164,-0.2515893561573454,-0.5933254651834365,0.13998815190766883,0.12803854693461741,-0.5619833373674163,-0.7515133434062498,-0.1427724491308309,0.09190138253922361
2023-05-29,2023-05-29T03:16:56,LC08_126046_20230529,22.21,False,0.029582912786260872,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,110738.0,54006.0,48.76916686232368,32.67573821912185,20.815196664345706,39.427979501514756,1.6611197867554643,43.79707056295039,0.5301049389832094,-0.31455004205214504,0.9474711884313292,0.17894626818921222,-0.27243198838033383,-0.8100879179587239,0.4477804383864446,0.11126952230486298,-0.46618318531163105,-0.9127735785003152,0.8421440606571193,0.197540448980326
2023-06-05,2023-06-05T03:22:46,LC08_127045_20230605,52.48,False,0.9321631723569771,False,False,scene_does_not_cover_roi,False,,,,,3474972.0,2032063.0,58.47710427594812,27.682002783806542,13.511258812185986,39.96781837744754,2.47824721837223,53.76293679488641,0.4791989956060207,-0.33812655002161507,0.9997744500205411,0.18511626188884533,-0.2106474071140053,-0.7886103449117582,0.7167863247863246,0.1359206958361359,-0.4377959585912328,-0.9999577904719026,0.6279151676771744,0.16819929462252725
2023-06-05,2023-06-05T03:23:10,LC08_127046_20230605,29.69,False,0.5307280793456556,False,False,scene_does_not_cover_roi,False,,,,,1979351.0,1498623.0,75.71284729186486,27.57449290951849,16.0978764793756,39.96964451584847,2.494811173783648,71.82010669153676,0.45639955106501234,-0.34013490317433454,0.9999491633128574,0.19656892141944884,-0.23181164433878668,-0.788837261378268,0.5196932333482596,0.1397724917543177,-0.41920903204205595,-0.9997793572993333,0.5121519694571194,0.1687099573089313
2023-06-21,2023-06-21T03:22:53,LC08_127045_20230621,99.99,False,0.9312750260801196,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3471668.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-06-21,2023-06-21T03:23:17,LC08_127046_20230621,77.87,False,0.5340305467282479,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1991668.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-06-30,2023-06-30T03:16:49,LC08_126045_20230630,65.29,False,0.007844913353036116,False,False,scene_does_not_cover_roi,False,,,,,29421.0,28737.0,97.67513000917711,29.459670815791277,22.660583942888934,35.82307367892605,2.3510957880784304,97.45419938139425,0.40336818995512574,-0.3296949091885119,0.9989860671643095,0.2255339625212557,-0.1978505360216133,-0.7237937986334734,0.21309120294507172,0.12130595302843748,-0.36441092214651444,-0.9637713718163975,0.37385781145531527,0.19383271033826335
2023-06-30,2023-06-30T03:17:13,LC08_126046_20230630,30.9,False,0.03428913039983261,False,False,scene_does_not_cover_roi,False,,,,,128381.0,110895.0,86.3796044586037,30.01236137815103,19.592394001045648,36.81613457982252,1.9115637534477172,84.61844042342715,0.4458586286748688,-0.5333849728892331,0.9876284629133156,0.22846342440675788,-0.26987934490817395,-0.8044265278565979,0.2912024377967324,0.12708713526149443,-0.42236285535429235,-0.9407230857603375,0.5603561523865128,0.20204205726552013
2023-07-07,2023-07-07T03:23:05,LC08_127045_20230707,32.23,False,0.934884252765671,False,False,scene_does_not_cover_roi,False,,,,,3485100.0,3330759.0,95.57140397693036,35.470271528870896,23.72673912007741,51.694869073888185,2.547253060957868,94.90169579065163,0.5117378356666397,-0.9993631925281262,0.9940030507735889,0.26282886123992977,-0.23751082710270177,-0.9722822993739332,0.9943502824858805,0.16676361793986902,-0.4819042723973997,-0.9993647232153116,0.999658567120014,0.2370983578954242
